시설번호,년도,지역코드,시설유형,쉼터명칭,도로명주소,지번상세주소,면적,이용가능인원,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,사용여부,운영시작일,운영종료일,경도,위도,X좌표,Y좌표
11650072,2022,1165066000,1,서초더샵포레시니어하우스 경로당,서울특별시 서초구 헌릉로8길 58,77-0,185,46,1,5,N,N,N,Y,20210520,20210930,127.069855,37.435028,206182.3079,537295.3864
11650073,2022,1165011100,1,새쟁이마을 경로당,,2월 22일,66,16,1,2,N,N,N,Y,20210520,20210930,127.058171,37.449342,205147.2697,538883.3595
11650035,2022,1165057000,1,반포2동 경로당,서울특별시 서초구 신반포로15길 28,4월 2일,113,30,0,4,N,N,N,Y,20220520,20220930,126.996746,37.501082,199712.2678,544624.2429
11650036,2022,1165059000,1,반포힐스테이트 경로당,서울특별시 서초구 신반포로16길 15-20,6월 16일,113,30,3,10,N,N,N,Y,20220520,20220930,127.003534,37.508757,200312.459,545476.0478
11650038,2022,1165058000,1,반포3동 경로당,서울특별시 서초구 신반포로23길 48,Jan.72,163,40,4,2,N,N,N,Y,20220520,20220930,127.000291,37.497449,200025.7327,544220.9999
11650040,2022,1165058100,1,반포4동 경로당,서울특별시 서초구 사평대로26길 9-14,535-12,1919,10,1,1,N,N,N,Y,20220520,20220930,126.988824,37.494089,199011.6793,543848.1424
11650070,2022,1165011000,1,안골마을 경로당,,192-3,50,12,1,2,N,N,N,Y,20210520,20220930,127.080893,37.454942,207157.296,539506.3878
11650071,2022,1165010900,1,내곡신흥 경로당,,1-1125,60,15,2,2,N,N,N,Y,20210520,20210930,127.064382,37.451074,205696.7462,539075.9337
11305016,2022,1130553500,5,미아동주민센터,서울특별시 강북구 솔매로49길 14,197-1,367,20,0,5,N,N,N,Y,20220520,20220930,127.026937,37.627043,202377.8748,558604.7472
11305104,2022,1130564500,5,우이동주민센터,서울특별시 강북구 삼양로139길 49,568-100,88,50,12,2,N,N,N,Y,20220520,20220930,127.011843,37.647866,201045.154,560915.609
